CÓDIGO ÓRGÃO SUPERIOR;NOME ÓRGÃO SUPERIOR;CÓDIGO ÓRGÃO;NOME ÓRGÃO;CÓDIGO UNIDADE GESTORA;NOME UNIDADE GESTORA;CATEGORIA ECONÔMICA;ORIGEM RECEITA;ESPÉCIE RECEITA;DETALHAMENTO;VALOR PREVISTO ATUALIZADO;VALOR LANÇADO;VALOR REALIZADO;PERCENTUAL REALIZADO;DATA LANÇAMENTO;ANO EXERCÍCIO
63000.0;Advocacia-Geral da União;63000.0;Advocacia-Geral da União - Unidades com vínculo direto;110060.0;COORD. GERAL DE ORC. FIN. E ANAL. CONT. - AGU;Receitas Correntes;Outras Receitas Correntes;Demais receitas correntes;RECEITA DE HONORARIOS DE ADVOGADOS;0,00;0,00;63829853,40;0,00;31/12/2015;2015.0
63000.0;Advocacia-Geral da União;63000.0;Advocacia-Geral da União - Unidades com vínculo direto;110060.0;COORD. GERAL DE ORC. FIN. E ANAL. CONT. - AGU;Receitas Correntes;Receita de Serviços;Receita de Serviços;TAR.INSCR.CONCURSOS E PROCESSOS SELETIVOS;636000,00;0,00;4486964,41;705,00;31/12/2015;2015.0
63000.0;Advocacia-Geral da União;63000.0;Advocacia-Geral da União - Unidades com vínculo direto;110060.0;COORD. GERAL DE ORC. FIN. E ANAL. CONT. - AGU;Receitas Correntes;Outras Receitas Correntes;;RECEITA DE ONUS DE SUCUMBENCIA;0,00;0,00;13060401,15;;31/12/2015;2015.0
63000.0;Advocacia-Geral da União;;Advocacia-Geral da União - Unidades com vínculo direto;110060.0;;Receitas Correntes;Outras Receitas Correntes;Indenizações, restituições e ressarcimentos;OUTRAS RESTITUICOES;0,00;0,00;48085,58;0,00;31/12/2015;2015.0
63000.0;Advocacia-Geral da União;63000.0;Advocacia-Geral da União - Unidades com vínculo direto;110060.0;COORD. GERAL DE ORC. FIN. E ANAL. CONT. - AGU;Receitas Correntes;Outras Receitas Correntes;Multas administrativas, contratuais e judicia;OUTRAS MULTAS E JUROS DE MORA;;0,00;1022856,02;0,00;31/12/2015;
63000.0;Advocacia-Geral da União;63000.0;Advocacia-Geral da União - Unidades com vínculo direto;110060.0;COORD. GERAL DE ORC. FIN. E ANAL. CONT. - AGU;Receitas Correntes;Outras Receitas Correntes;Bens, Direitos e Valores Incorporados ao Patr;REC.DIV.ATIVA POR INFRACAO ADMINISTRATIVA;0,00;0,00;118181,92;0,00;31/12/2015;2015.0
63000.0;Advocacia-Geral da União;63000.0;Advocacia-Geral da União - Unidades com vínculo direto;110060.0;COORD. GERAL DE ORC. FIN. E ANAL. CONT. - AGU;Receitas Correntes;Outras Receitas Correntes;Indenizações, restituições e ressarcimentos;RECUPERACAO DE DESPESAS DE EXERC. ANTERIORES;;0,00;4085135,44;0,00;31/12/2015;2015.0
63000.0;Advocacia-Geral da União;63000.0;Advocacia-Geral da União - Unidades com vínculo direto;110060.0;COORD. GERAL DE ORC. FIN. E ANAL. CONT. - AGU;Receitas Correntes;Outras Receitas Correntes;Demais receitas correntes;OUTRAS RECEITAS;0,00;0,00;;0,00;31/12/2015;2015.0
;Advocacia-Geral da União;63000.0;Advocacia-Geral da União - Unidades com vínculo direto;110060.0;COORD. GERAL DE ORC. FIN. E ANAL. CONT. - AGU;Receitas Correntes;;Multas administrativas, contratuais e judicia;MULTAS ADMINISTRATIVAS POR DANOS AMBIENTAIS;0,00;0,00;-63111,28;0,00;31/12/2015;2015.0
;Advocacia-Geral da União;63000.0;Advocacia-Geral da União - Unidades com vínculo direto;110060.0;COORD. GERAL DE ORC. FIN. E ANAL. CONT. - AGU;Receitas Correntes;Outras Receitas Correntes;Indenizações, restituições e ressarcimentos;OUTRAS INDENIZACOES;;0,00;11546322,86;0,00;31/12/2015;2015.0
